product_id,product_category,product_name,product_price,scrapy_datetime,style_id,color_id,fit,size,color_name,description,material,inner_leg_size,waist_size,cotton,spandex,polyester
971061004,men_jeans_slim,slim_tapered_cropped_jeans,29.99,2022-07-30 17:16:46,971061,4,slim_fit,0,pale_denim_blue,light_denim_blue,denim,0.0,0.0,0.99,0.01,0.0
971061004,men_jeans_slim,slim_tapered_cropped_jeans,29.99,2022-07-30 17:16:46,971061,4,slim_fit,0,pale_denim_blue,solid-color,denim,0.0,0.0,0.99,0.01,0.0
971061004,men_jeans_slim,slim_tapered_cropped_jeans,29.99,2022-07-30 17:16:46,971061,4,slim_fit,0,light_denim_blue,light_denim_blue,denim,0.0,0.0,0.99,0.01,0.0
971061004,men_jeans_slim,slim_tapered_cropped_jeans,29.99,2022-07-30 17:16:46,971061,4,slim_fit,0,light_denim_blue,solid-color,denim,0.0,0.0,0.99,0.01,0.0
971061004,men_jeans_slim,slim_tapered_cropped_jeans,29.99,2022-07-30 17:16:46,971061,4,slim_fit,0,dark_denim_gray,light_denim_blue,denim,0.0,0.0,0.99,0.01,0.0
971061004,men_jeans_slim,slim_tapered_cropped_jeans,29.99,2022-07-30 17:16:46,971061,4,slim_fit,0,dark_denim_gray,solid-color,denim,0.0,0.0,0.99,0.01,0.0
971061004,men_jeans_slim,slim_tapered_cropped_jeans,29.99,2022-07-30 17:16:46,971061,4,slim_fit,0,denim_blue,light_denim_blue,denim,0.0,0.0,0.99,0.01,0.0
971061004,men_jeans_slim,slim_tapered_cropped_jeans,29.99,2022-07-30 17:16:46,971061,4,slim_fit,0,denim_blue,solid-color,denim,0.0,0.0,0.99,0.01,0.0
971061004,men_jeans_slim,slim_tapered_cropped_jeans,29.99,2022-07-30 17:16:46,971061,4,slim_fit,0,pale_denim_blue,dark_denim_gray,denim,0.0,0.0,0.99,0.01,0.0
971061004,men_jeans_slim,slim_tapered_cropped_jeans,29.99,2022-07-30 17:16:46,971061,4,slim_fit,0,light_denim_blue,dark_denim_gray,denim,0.0,0.0,0.99,0.01,0.0
971061004,men_jeans_slim,slim_tapered_cropped_jeans,29.99,2022-07-30 17:16:46,971061,4,slim_fit,0,dark_denim_gray,dark_denim_gray,denim,0.0,0.0,0.99,0.01,0.0
971061004,men_jeans_slim,slim_tapered_cropped_jeans,29.99,2022-07-30 17:16:46,971061,4,slim_fit,0,denim_blue,dark_denim_gray,denim,0.0,0.0,0.99,0.01,0.0
690449022,men_jeans_ripped,skinny_jeans,39.99,2022-07-30 17:16:46,690449,22,skinny_fit,0,light_denim_blue_trashed,black,keyfibretype,0.0,0.0,0.98,0.02,0.0
690449022,men_jeans_ripped,skinny_jeans,39.99,2022-07-30 17:16:46,690449,22,skinny_fit,0,denim_blue,black,keyfibretype,0.0,0.0,0.98,0.02,0.0
690449022,men_jeans_ripped,skinny_jeans,39.99,2022-07-30 17:16:46,690449,22,skinny_fit,0,black_washed,black,keyfibretype,0.0,0.0,0.98,0.02,0.0
690449022,men_jeans_ripped,skinny_jeans,39.99,2022-07-30 17:16:46,690449,22,skinny_fit,0,light_denim_blue,black,keyfibretype,0.0,0.0,0.98,0.02,0.0
690449022,men_jeans_ripped,skinny_jeans,39.99,2022-07-30 17:16:46,690449,22,skinny_fit,0,black_washed_out,black,keyfibretype,0.0,0.0,0.98,0.02,0.0
690449022,men_jeans_ripped,skinny_jeans,39.99,2022-07-30 17:16:46,690449,22,skinny_fit,0,white,black,keyfibretype,0.0,0.0,0.98,0.02,0.0
690449022,men_jeans_ripped,skinny_jeans,39.99,2022-07-30 17:16:46,690449,22,skinny_fit,0,dark_denim_blue_trashed,black,keyfibretype,0.0,0.0,0.98,0.02,0.0
690449022,men_jeans_ripped,skinny_jeans,39.99,2022-07-30 17:16:46,690449,22,skinny_fit,0,black_trashed,black,keyfibretype,0.0,0.0,0.98,0.02,0.0
690449022,men_jeans_ripped,skinny_jeans,39.99,2022-07-30 17:16:46,690449,22,skinny_fit,0,dark_blue_trashed,black,keyfibretype,0.0,0.0,0.98,0.02,0.0
690449022,men_jeans_ripped,skinny_jeans,39.99,2022-07-30 17:16:46,690449,22,skinny_fit,0,dark_blue_washed_out,black,keyfibretype,0.0,0.0,0.98,0.02,0.0
690449022,men_jeans_ripped,skinny_jeans,39.99,2022-07-30 17:16:46,690449,22,skinny_fit,0,denim_blue_trashed,black,keyfibretype,0.0,0.0,0.98,0.02,0.0
690449022,men_jeans_ripped,skinny_jeans,39.99,2022-07-30 17:16:46,690449,22,skinny_fit,0,black,black,keyfibretype,0.0,0.0,0.98,0.02,0.0
690449022,men_jeans_ripped,skinny_jeans,39.99,2022-07-30 17:16:46,690449,22,skinny_fit,0,denim_gray,black,keyfibretype,0.0,0.0,0.98,0.02,0.0
690449022,men_jeans_ripped,skinny_jeans,39.99,2022-07-30 17:16:46,690449,22,skinny_fit,0,light_denim_gray_trashed,black,keyfibretype,0.0,0.0,0.98,0.02,0.0
690449022,men_jeans_ripped,skinny_jeans,39.99,2022-07-30 17:16:46,690449,22,skinny_fit,0,gray,black,keyfibretype,0.0,0.0,0.98,0.02,0.0
690449022,men_jeans_ripped,skinny_jeans,39.99,2022-07-30 17:16:46,690449,22,skinny_fit,0,light_denim_blue_trashed,light_denim_blue,keyfibretype,0.0,0.0,0.98,0.02,0.0
690449022,men_jeans_ripped,skinny_jeans,39.99,2022-07-30 17:16:46,690449,22,skinny_fit,0,denim_blue,light_denim_blue,keyfibretype,0.0,0.0,0.98,0.02,0.0
690449022,men_jeans_ripped,skinny_jeans,39.99,2022-07-30 17:16:46,690449,22,skinny_fit,0,black_washed,light_denim_blue,keyfibretype,0.0,0.0,0.98,0.02,0.0
