product_id,composition,size,fit,material,description,product_name,product_price,color_name,style_id,color_id,scrapy_datetime
1024256001,"Cotton 99%, Spandex 1%",,Slim fit,Denim,Black,Slim Jeans,24.9,Black,1024256,001,2022-08-01 21:34:37
1024256001,"Polyester 65%, Cotton 35%",,Slim fit,Denim,Solid-color,Slim Jeans,24.9,Black,1024256,001,2022-08-01 21:34:37
1024256001,"Polyester 65%, Cotton 35%",,Slim fit,Denim,Solid-color,Slim Jeans,24.9,Black,1024256,001,2022-08-01 21:34:37
1024256001,"Polyester 65%, Cotton 35%",,Slim fit,Denim,Solid-color,Slim Jeans,24.9,Black,1024256,001,2022-08-01 21:34:37
1024256001,"Polyester 65%, Cotton 35%",,Slim fit,Denim,Solid-color,Slim Jeans,24.9,Black,1024256,001,2022-08-01 21:34:37
1024256001,"Polyester 65%, Cotton 35%",,Slim fit,Denim,Solid-color,Slim Jeans,24.9,Black,1024256,001,2022-08-01 21:34:37
1024256001,"Polyester 65%, Cotton 35%",,Slim fit,Denim,Solid-color,Slim Jeans,24.9,Black,1024256,001,2022-08-01 21:34:37
1024256002,"Cotton 99%, Spandex 1%",,Slim fit,Denim,Light denim blue,Slim Jeans,24.9,Light denim blue,1024256,002,2022-08-01 21:34:37
1024256002,"Polyester 65%, Cotton 35%",,Slim fit,Denim,Solid-color,Slim Jeans,24.9,Light denim blue,1024256,002,2022-08-01 21:34:37
1024256002,"Polyester 65%, Cotton 35%",,Slim fit,Denim,Solid-color,Slim Jeans,24.9,Light denim blue,1024256,002,2022-08-01 21:34:37
1024256002,"Polyester 65%, Cotton 35%",,Slim fit,Denim,Solid-color,Slim Jeans,24.9,Light denim blue,1024256,002,2022-08-01 21:34:37
1024256002,"Polyester 65%, Cotton 35%",,Slim fit,Denim,Solid-color,Slim Jeans,24.9,Light denim blue,1024256,002,2022-08-01 21:34:37
1024256002,"Polyester 65%, Cotton 35%",,Slim fit,Denim,Solid-color,Slim Jeans,24.9,Light denim blue,1024256,002,2022-08-01 21:34:37
1024256002,"Polyester 65%, Cotton 35%",,Slim fit,Denim,Solid-color,Slim Jeans,24.9,Light denim blue,1024256,002,2022-08-01 21:34:37
0971061001,"Cotton 99%, Spandex 1%",,Slim fit,Denim,Pale denim blue,Slim Tapered Cropped Jeans,29.9,Pale denim blue,0971061,001,2022-08-01 21:34:37
0971061001,"Cotton 99%, Spandex 1%",,Slim fit,Denim,Solid-color,Slim Tapered Cropped Jeans,29.9,Pale denim blue,0971061,001,2022-08-01 21:34:37
0971061001,"Cotton 99%, Spandex 1%",,Slim fit,Denim,Solid-color,Slim Tapered Cropped Jeans,29.9,Pale denim blue,0971061,001,2022-08-01 21:34:37
0971061001,"Cotton 99%, Spandex 1%",,Slim fit,Denim,Solid-color,Slim Tapered Cropped Jeans,29.9,Pale denim blue,0971061,001,2022-08-01 21:34:37
0971061001,"Cotton 99%, Spandex 1%",,Slim fit,Denim,Solid-color,Slim Tapered Cropped Jeans,29.9,Pale denim blue,0971061,001,2022-08-01 21:34:37
0971061002,"Cotton 99%, Spandex 1%",,Slim fit,Denim,Light denim blue,Slim Tapered Cropped Jeans,29.9,Light denim blue,0971061,002,2022-08-01 21:34:37
0971061002,"Cotton 99%, Spandex 1%",,Slim fit,Denim,Solid-color,Slim Tapered Cropped Jeans,29.9,Light denim blue,0971061,002,2022-08-01 21:34:37
0971061002,"Cotton 99%, Spandex 1%",,Slim fit,Denim,Solid-color,Slim Tapered Cropped Jeans,29.9,Light denim blue,0971061,002,2022-08-01 21:34:37
0971061002,"Cotton 99%, Spandex 1%",,Slim fit,Denim,Solid-color,Slim Tapered Cropped Jeans,29.9,Light denim blue,0971061,002,2022-08-01 21:34:37
0971061002,"Cotton 99%, Spandex 1%",,Slim fit,Denim,Solid-color,Slim Tapered Cropped Jeans,29.9,Light denim blue,0971061,002,2022-08-01 21:34:37
0971061004,"Cotton 99%, Spandex 1%",,Slim fit,Denim,Light denim blue,Slim Tapered Cropped Jeans,29.9,Light denim blue,0971061,004,2022-08-01 21:34:37
0971061004,"Cotton 99%, Spandex 1%",,Slim fit,Denim,Solid-color,Slim Tapered Cropped Jeans,29.9,Light denim blue,0971061,004,2022-08-01 21:34:37
0971061004,"Cotton 99%, Spandex 1%",,Slim fit,Denim,Solid-color,Slim Tapered Cropped Jeans,29.9,Light denim blue,0971061,004,2022-08-01 21:34:37
0971061004,"Cotton 99%, Spandex 1%",,Slim fit,Denim,Solid-color,Slim Tapered Cropped Jeans,29.9,Light denim blue,0971061,004,2022-08-01 21:34:37
0971061004,"Cotton 99%, Spandex 1%",,Slim fit,Denim,Solid-color,Slim Tapered Cropped Jeans,29.9,Light denim blue,0971061,004,2022-08-01 21:34:37
0971061005,"Cotton 99%, Spandex 1%",,Slim fit,Denim,Dark denim gray,Slim Tapered Cropped Jeans,29.9,Dark denim gray,0971061,005,2022-08-01 21:34:37
0971061005,"Cotton 99%, Spandex 1%",,Slim fit,Denim,Solid-color,Slim Tapered Cropped Jeans,29.9,Dark denim gray,0971061,005,2022-08-01 21:34:37
0971061005,"Cotton 99%, Spandex 1%",,Slim fit,Denim,Solid-color,Slim Tapered Cropped Jeans,29.9,Dark denim gray,0971061,005,2022-08-01 21:34:37
0971061005,"Cotton 99%, Spandex 1%",,Slim fit,Denim,Solid-color,Slim Tapered Cropped Jeans,29.9,Dark denim gray,0971061,005,2022-08-01 21:34:37
0971061005,"Cotton 99%, Spandex 1%",,Slim fit,Denim,Solid-color,Slim Tapered Cropped Jeans,29.9,Dark denim gray,0971061,005,2022-08-01 21:34:37
0971061006,"Cotton 99%, Spandex 1%",,Slim fit,Denim,Solid-color,Slim Tapered Cropped Jeans,29.9,Denim blue,0971061,006,2022-08-01 21:34:37
0971061006,"Cotton 99%, Spandex 1%",,Slim fit,Denim,Solid-color,Slim Tapered Cropped Jeans,29.9,Denim blue,0971061,006,2022-08-01 21:34:37
