product_id,product_category,product_name,product_price,scrapy_datetime,style_id,color_id,Fit,Size,color_name,Description,Material,Composition
0971061004,men_jeans_slim,Slim Tapered Cropped Jeans,$ 29.99,2022-07-30 17:16:46,0971061,004,Slim fit,,Pale denim blue,Light denim blue,Denim,"Cotton 99%, Spandex 1%"
0971061004,men_jeans_slim,Slim Tapered Cropped Jeans,$ 29.99,2022-07-30 17:16:46,0971061,004,Slim fit,,Pale denim blue,Solid-color,Denim,"Cotton 99%, Spandex 1%"
0971061004,men_jeans_slim,Slim Tapered Cropped Jeans,$ 29.99,2022-07-30 17:16:46,0971061,004,Slim fit,,Pale denim blue,Solid-color,Denim,"Cotton 99%, Spandex 1%"
0971061004,men_jeans_slim,Slim Tapered Cropped Jeans,$ 29.99,2022-07-30 17:16:46,0971061,004,Slim fit,,Pale denim blue,Solid-color,Denim,"Cotton 99%, Spandex 1%"
0971061004,men_jeans_slim,Slim Tapered Cropped Jeans,$ 29.99,2022-07-30 17:16:46,0971061,004,Slim fit,,Pale denim blue,Solid-color,Denim,"Cotton 99%, Spandex 1%"
0971061004,men_jeans_slim,Slim Tapered Cropped Jeans,$ 29.99,2022-07-30 17:16:46,0971061,004,Slim fit,,Light denim blue,Light denim blue,Denim,"Cotton 99%, Spandex 1%"
0971061004,men_jeans_slim,Slim Tapered Cropped Jeans,$ 29.99,2022-07-30 17:16:46,0971061,004,Slim fit,,Light denim blue,Solid-color,Denim,"Cotton 99%, Spandex 1%"
0971061004,men_jeans_slim,Slim Tapered Cropped Jeans,$ 29.99,2022-07-30 17:16:46,0971061,004,Slim fit,,Light denim blue,Solid-color,Denim,"Cotton 99%, Spandex 1%"
0971061004,men_jeans_slim,Slim Tapered Cropped Jeans,$ 29.99,2022-07-30 17:16:46,0971061,004,Slim fit,,Light denim blue,Solid-color,Denim,"Cotton 99%, Spandex 1%"
0971061004,men_jeans_slim,Slim Tapered Cropped Jeans,$ 29.99,2022-07-30 17:16:46,0971061,004,Slim fit,,Light denim blue,Solid-color,Denim,"Cotton 99%, Spandex 1%"
